S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
11368,28/07/2021,Madhya Pradesh,791767,138,781117,10512
11369,29/07/2021,Madhya Pradesh,791778,130,781135,10513
11370,30/07/2021,Madhya Pradesh,791796,130,781153,10513
11371,31/07/2021,Madhya Pradesh,791806,121,781172,10513
11372,01/08/2021,Madhya Pradesh,791828,122,781193,10513
11373,02/08/2021,Madhya Pradesh,791845,125,781207,10513
11374,03/08/2021,Madhya Pradesh,791862,132,781217,10513
11375,04/08/2021,Madhya Pradesh,791880,139,781228,10513
11376,05/08/2021,Madhya Pradesh,791908,155,781240,10513
11377,06/08/2021,Madhya Pradesh,791919,152,781253,10514
11378,07/08/2021,Madhya Pradesh,791937,158,781265,10514
11379,08/08/2021,Madhya Pradesh,791950,156,781280,10514
11380,09/08/2021,Madhya Pradesh,791960,148,781298,10514
11381,10/08/2021,Madhya Pradesh,791970,149,781307,10514
11382,11/08/2021,Madhya Pradesh,791980,136,781330,10514
11383,12/08/2021,Madhya Pradesh,791990,132,781344,10514
11384,13/08/2021,Madhya Pradesh,791998,131,781353,10514
11385,14/08/2021,Madhya Pradesh,792007,103,781390,10514
11386,15/08/2021,Madhya Pradesh,792023,111,781398,10514
11387,16/08/2021,Madhya Pradesh,792036,104,781418,10514
11388,17/08/2021,Madhya Pradesh,792043,94,781434,10515
11389,18/08/2021,Madhya Pradesh,792054,95,781444,10515
11390,19/08/2021,Madhya Pradesh,792063,93,781455,10515
11391,20/08/2021,Madhya Pradesh,792081,95,781471,10515
11392,21/08/2021,Madhya Pradesh,792089,95,781479,10515
11393,22/08/2021,Madhya Pradesh,792096,88,781493,10515
11394,23/08/2021,Madhya Pradesh,792101,86,781499,10516
11395,24/08/2021,Madhya Pradesh,792104,84,781504,10516
11396,25/08/2021,Madhya Pradesh,792109,84,781509,10516
11397,26/08/2021,Madhya Pradesh,792114,79,781519,10516
11398,27/08/2021,Madhya Pradesh,792120,76,781528,10516
11399,28/08/2021,Madhya Pradesh,792136,82,781538,10516
11400,29/08/2021,Madhya Pradesh,792143,79,781548,10516
11401,30/08/2021,Madhya Pradesh,792155,80,781559,10516
11402,31/08/2021,Madhya Pradesh,792165,75,781574,10516
11403,01/09/2021,Madhya Pradesh,792175,79,781580,10516
11404,02/09/2021,Madhya Pradesh,792186,83,781587,10516
11405,03/09/2021,Madhya Pradesh,792197,91,781590,10516
11406,04/09/2021,Madhya Pradesh,792215,101,781598,10516
11407,05/09/2021,Madhya Pradesh,792237,114,781607,10516
11408,06/09/2021,Madhya Pradesh,792259,122,781621,10516
11409,07/09/2021,Madhya Pradesh,792297,137,781644,10516
11410,08/09/2021,Madhya Pradesh,792281,127,781638,10516
11411,09/09/2021,Madhya Pradesh,792297,137,781644,10516
11412,10/09/2021,Madhya Pradesh,792311,130,781664,10517
11413,11/09/2021,Madhya Pradesh,792311,130,781664,10517
11414,12/09/2021,Madhya Pradesh,792327,136,781674,10517
11415,13/09/2021,Madhya Pradesh,792341,138,781686,10517
11416,14/09/2021,Madhya Pradesh,792353,131,781705,10517
11417,15/09/2021,Madhya Pradesh,792360,126,781717,10517
11418,16/09/2021,Madhya Pradesh,792367,124,781726,10517
11419,18/09/2021,Madhya Pradesh,792380,109,781754,10517
11420,19/09/2021,Madhya Pradesh,792386,97,781772,10517
11421,20/09/2021,Madhya Pradesh,792394,96,781781,10517
11422,21/09/2021,Madhya Pradesh,792402,96,781789,10517
11423,22/09/2021,Madhya Pradesh,792410,90,781803,10517
11424,23/09/2021,Madhya Pradesh,792422,90,781815,10517
11425,24/09/2021,Madhya Pradesh,792435,93,781825,10517
11426,25/09/2021,Madhya Pradesh,792471,120,781833,10518
11427,26/09/2021,Madhya Pradesh,792487,117,781852,10518
11428,27/09/2021,Madhya Pradesh,792496,116,781862,10518
11429,28/09/2021,Madhya Pradesh,792504,118,781868,10518
11430,29/09/2021,Madhya Pradesh,792511,116,781875,10520
11431,30/09/2021,Madhya Pradesh,792519,115,781882,10522
11432,01/10/2021,Madhya Pradesh,792531,122,781887,10522
11433,02/10/2021,Madhya Pradesh,792542,124,781896,10522
11434,03/10/2021,Madhya Pradesh,792547,117,781908,10522
11435,04/10/2021,Madhya Pradesh,792556,117,781917,10522
11436,05/10/2021,Madhya Pradesh,792570,123,781925,10522
11437,06/10/2021,Madhya Pradesh,792580,122,781936,10522
11438,07/10/2021,Madhya Pradesh,792596,121,781953,10522
